repweekdate,antigen_detection,virus_isolation,pcr_detection,as_of
2021-10-02,11.99,0.0,12.627,2023-10-03
2021-10-09,11.997,1.19,12.228,2023-10-06
2021-10-16,11.06,0.0,10.712,2023-10-13
2021-10-23,9.763,1.111,10.527,2023-10-20
2021-10-30,8.822,0.000,9.237,2023-10-20
2021-11-06,7.373,0.000,9.010,2023-10-20
2021-11-13,7.006,0.000,8.360,2023-10-20
2021-11-20,5.775,0.000,7.554,2023-10-20
2021-11-27,5.621,0.000,6.997,2023-10-20
2021-12-04,4.817,0.000,6.823,2023-10-20
2021-12-11,4.998,0.000,5.934,2023-10-20
2021-12-18,3.862,0.000,4.988,2023-10-20
2021-12-25,3.460,0.000,4.266,2023-10-20
2022-01-01,2.283,0.000,3.434,2023-10-20
2022-01-08,2.015,0.000,3.198,2023-10-20
2022-01-15,2.197,0.000,2.223,2023-10-20
2022-01-22,1.872,0.000,2.065,2023-10-20
2022-01-29,1.389,0.000,1.712,2023-10-20
2022-02-05,1.542,0.000,1.538,2023-10-20
2022-02-12,1.306,0.000,1.411,2023-10-20
2022-02-19,1.733,0.000,1.316,2023-10-20
2022-02-26,1.656,2.326,1.191,2023-10-20
2022-03-05,1.564,0.000,1.099,2023-10-20
2022-03-12,1.038,0.000,1.182,2023-10-20
2022-03-19,1.605,0.000,1.083,2023-10-20
2022-03-26,1.958,0.000,1.019,2023-10-20
2022-04-02,2.152,3.030,1.030,2023-10-20
2022-04-09,2.481,3.922,1.044,2023-10-20
2022-04-16,2.795,0.000,1.062,2023-10-20
2022-04-23,2.650,0.000,1.138,2023-10-20
2022-04-30,3.145,0.000,1.370,2023-10-20
2022-05-07,3.520,0.000,1.355,2023-10-20
2022-05-14,4.412,3.704,1.641,2023-10-20
2022-05-21,4.899,0.000,1.779,2023-10-20
2022-05-28,5.288,0.000,1.985,2023-10-20
2022-06-04,6.026,2.632,2.628,2023-10-20
2022-06-11,7.654,0.000,2.746,2023-10-20
2022-06-18,7.347,0.000,3.076,2023-10-20
2022-06-25,7.651,0.000,3.056,2023-10-20
2022-07-02,6.975,0.000,3.271,2023-10-20
2022-07-09,5.019,0.778,3.053,2023-10-20
2022-07-16,4.342,1.036,2.751,2023-10-20
2022-07-23,4.610,1.066,3.058,2023-10-20
2022-07-30,5.275,0.994,2.977,2023-10-20
2022-08-06,3.711,1.019,2.959,2023-10-20
2022-08-13,3.877,1.077,3.192,2023-10-20
2022-08-20,4.429,1.182,3.102,2023-10-20
2022-08-27,4.665,1.778,3.654,2023-10-20
2022-09-03,7.714,1.650,4.147,2023-10-20
2022-09-10,8.642,2.046,5.272,2023-10-20
2022-09-17,10.615,3.005,6.391,2023-10-20
2022-09-24,13.696,3.728,8.222,2023-10-20
2022-10-01,15.297,5.786,10.353,2023-10-20
2022-10-08,15.647,8.252,12.649,2023-10-20
2022-10-15,16.108,9.097,14.907,2023-10-20
2022-10-22,15.566,12.820,16.734,2023-10-20
2022-10-29,13.870,13.674,18.469,2023-10-20
2022-11-05,13.526,14.760,19.161,2023-10-20
2022-11-12,14.771,15.923,19.484,2023-10-20
2022-11-19,14.372,14.206,16.630,2023-10-20
2022-11-26,11.926,11.819,13.386,2023-10-20
2022-12-03,8.792,9.425,10.421,2023-10-20
2022-12-10,8.112,7.517,7.858,2023-10-20
2022-12-17,6.958,6.684,6.678,2023-10-20
2022-12-24,5.862,6.155,5.568,2023-10-20
2022-12-31,5.672,5.694,5.148,2023-10-20
2023-01-07,4.393,6.525,4.892,2023-10-20
2023-01-14,3.683,5.334,4.060,2023-10-20
2023-01-21,3.011,4.804,3.308,2023-10-20
2023-01-28,2.795,3.367,2.494,2023-10-20
2023-02-04,2.865,3.033,2.208,2023-10-20
2023-02-11,2.712,2.601,1.783,2023-10-20
2023-02-18,2.554,2.219,1.594,2023-10-20
2023-02-25,2.299,2.381,1.360,2023-10-20
2023-03-04,2.118,0.000,1.241,2023-10-20
2023-03-11,1.877,0.000,1.056,2023-10-20
2023-03-18,1.877,2.000,0.928,2023-10-20
2023-03-25,1.474,2.326,0.814,2023-10-20
2023-04-01,1.288,0.000,0.726,2023-10-20
2023-04-08,1.358,0.000,0.609,2023-10-20
2023-04-15,1.293,0.000,0.572,2023-10-20
2023-04-22,0.927,0.000,0.553,2023-10-20
2023-04-29,0.940,0.000,0.492,2023-10-20
2023-05-06,1.109,0.000,0.463,2023-10-20
2023-05-13,0.715,0.000,0.499,2023-10-20
2023-05-20,1.039,0.000,0.460,2023-10-20
2023-05-27,1.145,0.000,0.417,2023-10-20
2023-06-03,1.408,0.000,0.535,2023-10-20
2023-06-10,1.730,0.000,0.488,2023-10-20
2023-06-17,1.582,0.000,0.464,2023-10-20
2023-06-24,1.129,0.000,0.631,2023-10-20
2023-07-01,1.243,0.000,0.649,2023-10-20
2023-07-08,1.847,0.000,0.578,2023-10-20
2023-07-15,1.326,0.000,0.627,2023-10-20
2023-07-22,1.235,0.000,0.777,2023-10-20
2023-07-29,1.253,0.000,0.812,2023-10-20
2023-08-05,1.446,0.000,0.880,2023-10-20
2023-08-12,1.478,0.000,0.843,2023-10-20
2023-08-19,1.332,0.000,0.789,2023-10-20
2023-08-26,1.621,0.000,1.184,2023-10-20
2023-09-02,1.912,0.000,1.101,2023-10-20
2023-09-09,3.023,0.000,1.330,2023-10-20
2023-09-16,2.936,0.000,1.447,2023-10-20
2023-09-23,4.484,0.000,2.203,2023-10-20
2023-09-30,6.451,0.000,2.323,2023-10-20
2023-10-07,7.545,0.000,3.600,2023-10-20
2023-10-14,9.293,0.000,4.191,2023-10-20
